Prasanta Kumar Mohanty,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/prasanta-mohanty.jpg,https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//www.sutanu.home.blog https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//0196,
Prasanta Rath,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Prasanta-Rath-Prasanta-Rath.jpg,https://in.linkedin.com/in/prasanta-rath-b36a7992 https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//twitter.com/prathfch_rath https://www.facebook.com/prasanta.rath.52,
Pratap Kumar Deheri,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Pratap-Kumar-Deheri.jpg,https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//twitter.com/PratapKumar https://www.facebook.com/pratapkumar.deheri,
Priyadarshini Parida,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2020/02/Priyadarshini.jpg,https://twitter.com/Priyada39012630 https://www.facebook.com/priyadarshini.parida.98,
Priyanka Koner,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2023/12/Priyanka.jpg,,
Puspalata Pattojoshi,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2022/03/puspalata.jpg,,
Rajashree Mishra,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Rajashree-Mishra.jpg,https://twitter.com/rajmani23,
Rajib Mia,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/RajibMia.jpg,https://www.linkedin.com/in/rajib-mia-0659a988/ https://twitter.com/rajibmia89 https://www.facebook.com/rajib.mia.5,
Rakesh Mohan Das,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2024/02/rakesh.jpg,https://www.linkedin.com/in/rakeshmd86/ https://twitter.com/Rakesh_Mohandas https://www.facebook.com/rakeshmd.86,
Rojalin Sahu,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Rojalin-Sahu.jpeg,https://sites.google.com/view/dr-rojalinsahu-researchgroup https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//twitter.com/RojalinSahu https://www.facebook.com/rojalin.sahu.503645,
Samaresh Jana,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/07/samresh-jena.jpg,https://www.linkedin.com/in/samaresh-jana-636b9934/ https://www.facebook.com/samaresh.jana.79,
Sanjoy Kumar Maji,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2022/03/SANJAY.jpg,https://www.facebook.com/sanjoykumar.maji/,
Sapan Kumar Samal,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/sapan.jpg,https://twitter.com/SapanKumarSama2 https://www.facebook.com/profile.php?id=100008496820169,
Sarbari Acharya,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Sarbari-Acharya.jpg,https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//twitter.com/sarbari16 https://www.facebook.com/sarbari.acharya.562/,
‪Satya Kumar Misra‬,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2022/06/skmisra.jpg,,
Saumya Ranjan Jena,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2022/03/jena.jpg,https://twitter.com/saumyafma https://www.facebook.com/saumyaranjan.jena.773,
Shalini Saha,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2023/12/Shalini.jpg,,
Shuvendu Singha,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Shuvendu-Singha.jpg,https://www.linkedin.com/in/dr-shuvendu-singha-5b491975/ https://twitter.com/ShuvenduRES https://www.facebook.com/shuvendu.singha,
